,iata_code,lat,lon,countries
159,MCI,39.3,-94.71,United States
160,MCO,28.43,-81.31,United States
161,MCT,23.59,58.349999999999994,Oman
162,MDE,6.205,-75.49000000000001,Colombia
163,MDW,41.79,-87.75,United States
164,MED,24.509999999999998,39.655,Saudi Arabia
165,MEL,-37.74,144.9,Australia
166,MES,3.58,98.67,Indonesia
167,MEX,19.435000000000002,-99.1,Mexico
168,MHD,36.28,59.605000000000004,Iran
169,MIA,25.78,-80.24000000000001,United States
170,MIL,45.46,9.19,Italy
171,MKC,39.1,-94.58,United States
172,MNL,14.55,120.99000000000001,Philippines
173,MOW,55.75,37.7,Russia
174,MRS,43.37,5.295,France
175,MSP,44.93,-93.24000000000001,United States
176,MSY,29.97,-90.17,United States
177,MTY,25.73,-100.215,Mexico
178,MUC,48.245000000000005,11.684999999999999,Germany
179,MXP,45.63,8.72,Italy
180,NAN,-17.78,177.43,Fiji
181,NAS,25.055,-77.405,The Bahamas
182,NBO,-1.3,36.875,Kenya
183,NCE,43.68,7.244999999999999,France
184,NGO,35.18,136.91,Japan
185,NKG,31.9,118.82,China
186,NOU,-22.28,166.46,New Caledonia
187,NRT,35.76,140.39,Japan
188,NYC,40.71,-74.01,United States
189,OAK,37.765,-122.245,United States
190,OKA,26.27,127.725,Japan
191,OME,64.505,-165.43,United States
192,OOL,-28.08,153.465,Australia
193,OPO,41.2,-8.645,Portugal
194,ORD,41.98,-87.9,United States
195,ORL,28.53,-81.35,United States
196,ORY,48.73,2.36,France
197,OSA,34.69,135.5,Japan
198,OSL,60.05,10.925,Norway
199,OTP,44.57,26.1,Romania
200,OVB,55.025,82.79,Russia
201,PAR,48.85,2.35,France
202,PDX,45.55500000000001,-122.635,United States
203,PEK,40.08,116.58,China
204,PER,-31.945,115.91499999999999,Australia
205,PHL,39.915000000000006,-75.19999999999999,United States
206,PHX,33.445,-112.035,United States
207,PIT,40.465,-80.11500000000001,United States
208,PMI,39.56,2.69,Spain
209,POA,-30.009999999999998,-51.2,Brazil
210,POM,-9.44,147.2,Papua New Guinea
211,PPT,-17.545,-149.59,French Polynesia
212,PRG,50.095,14.34,Czechia
213,PTY,9.030000000000001,-79.44999999999999,Panama
214,PVG,31.14,121.81,China
215,RDU,35.88,-78.77666666666666,United States
216,REC,-8.09,-34.900000000000006,Brazil
217,REK,64.13,-21.95,Iceland
218,RGN,16.86,96.145,Myanmar (Burma)
219,RIO,-22.9,-43.21,Brazil
220,ROM,41.89,12.51,Italy
221,RUH,24.825000000000003,46.71,Saudi Arabia
222,SAC,38.51,-121.49,United States
223,SAN,32.724999999999994,-117.18,United States
224,SAO,-23.55,-46.64,Brazil
225,SAW,40.9,29.31,Turkey
226,SCL,-33.425,-70.72,Chile
227,SDU,-22.91,-43.16,Brazil
228,SEA,47.53,-122.32,United States
229,SEL,37.57,126.98,South Korea
230,SFO,37.695,-122.39500000000001,United States
231,SGN,10.82,106.64,Vietnam
232,SHA,31.21,121.4,China
233,SHE,41.715,123.45500000000001,China
234,SHJ,25.345,55.46,United Arab Emirates
235,SIA,34.26,108.93,China
236,SIN,1.32,103.91999999999999,Singapore
237,SIP,45.004999999999995,34.045,NA
238,SJC,37.36,-121.93,United States
239,SJO,9.96,-84.145,Costa Rica
240,SJU,18.455,-66.055,Puerto Rico
241,SLC,40.775,-111.935,United States
242,SMF,38.7,-121.59,United States
243,SNA,33.68,-117.87,United States
244,SPK,43.07,141.35,Japan
245,SSA,-12.940000000000001,-38.42,Brazil
246,STL,38.685,-90.285,United States
247,STN,51.88,0.24,United Kingdom
248,STO,59.33,18.08,Sweden
249,STR,48.735,9.19,Germany
250,SUB,-7.3149999999999995,112.77000000000001,Indonesia
251,SVO,55.97,37.41,Russia
252,SXF,52.38,13.52,Germany
253,SYD,-33.91,151.195,Australia
254,SYX,18.27,109.455,China
255,SZX,22.595,113.94,China
256,TAO,36.185,120.375,China
257,TCI,28.47,-16.25,Spain
258,THR,35.69,51.365,Iran
259,TLS,43.615,1.4,France
260,TLV,32.045,34.835,Israel
261,TNA,36.765,117.10499999999999,China
262,TPA,27.98,-82.53,United States
263,TPE,25.064999999999998,121.38,Taiwan
264,TRW,1.355,173.065,Kiribati
265,TSN,39.135000000000005,117.265,China
266,TXL,52.56,13.29,Germany
267,TYO,35.69,139.69,Japan
268,UIO,-0.175,-78.44,Ecuador
269,UPG,-5.109999999999999,119.485,Indonesia
270,URC,43.86333333333334,87.51666666666667,China
271,VCE,45.47,12.335,Italy
272,VCP,-23.01,-47.13,Brazil
273,VIE,48.165,16.465,Austria
274,VKO,55.59,37.26,Russia
275,VLI,-17.715,168.32,Vanuatu
276,WAS,38.9,-77.04,United States
277,WAW,52.2,20.990000000000002,Poland
278,WIL,-1.32,36.81,Kenya
279,WLG,-41.31,174.79500000000002,New Zealand
280,WUH,30.68,114.24,China
281,XIY,34.45,108.75,China
282,XMN,24.509999999999998,118.10499999999999,China
283,YEA,53.57,-113.5,Canada
284,YEG,53.31,-113.58,Canada
285,YKS,62.06,129.75,Russia
286,YMQ,45.51,-73.59,Canada
287,YOW,45.364999999999995,-75.685,Canada
288,YTO,43.7,-79.42,Canada
289,YUL,45.46,-73.75,Canada
290,YVR,49.22,-123.15,Canada
291,YWG,49.894999999999996,-97.19,Canada
292,YXL,50.09,-91.945,Canada
293,YYC,51.09,-114.05000000000001,Canada
294,YYZ,43.68,-79.61,Canada
295,YZF,62.46,-114.395,Canada
296,ZME,40.58,-74.32,United States
297,ZRH,47.41,8.555,Switzerland
